"","Package","LibPath","Version","Priority","Built"
"1","askpass","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1",NA,"4.2.1"
"2","assertthat","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.2.1",NA,"4.2.1"
"3","backports","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.4.1",NA,"4.2.0"
"4","base64enc","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.1-3",NA,"4.2.0"
"5","bit","C:/Users/nephi/AppData/Local/R/win-library/4.2","4.0.4",NA,"4.2.1"
"6","bit64","C:/Users/nephi/AppData/Local/R/win-library/4.2","4.0.5",NA,"4.2.1"
"7","blob","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.2.3",NA,"4.2.1"
"8","brew","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.0-7",NA,"4.2.1"
"9","brio","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1.3",NA,"4.2.1"
"10","broom","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.0.0",NA,"4.2.1"
"11","bslib","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.4.0",NA,"4.2.1"
"12","cachem","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.0.6",NA,"4.2.1"
"13","callr","C:/Users/nephi/AppData/Local/R/win-library/4.2","3.7.1",NA,"4.2.1"
"14","cellranger","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1.0",NA,"4.2.1"
"15","cli","C:/Users/nephi/AppData/Local/R/win-library/4.2","3.3.0",NA,"4.2.1"
"16","clipr","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.8.0",NA,"4.2.1"
"17","colorspace","C:/Users/nephi/AppData/Local/R/win-library/4.2","2.0-3",NA,"4.2.1"
"18","commonmark","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.8.0",NA,"4.2.1"
"19","cpp11","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.4.2",NA,"4.2.1"
"20","crayon","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.5.1",NA,"4.2.1"
"21","credentials","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.3.2",NA,"4.2.1"
"22","curl","C:/Users/nephi/AppData/Local/R/win-library/4.2","4.3.2",NA,"4.2.1"
"23","data.table","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.14.2",NA,"4.2.1"
"24","datamods","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.3.3",NA,"4.2.1"
"25","DBI","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1.3",NA,"4.2.1"
"26","dbplyr","C:/Users/nephi/AppData/Local/R/win-library/4.2","2.2.1",NA,"4.2.1"
"27","desc","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.4.1",NA,"4.2.1"
"28","devtools","C:/Users/nephi/AppData/Local/R/win-library/4.2","2.4.4",NA,"4.2.1"
"29","diffobj","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.3.5",NA,"4.2.1"
"30","digest","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.6.29",NA,"4.2.1"
"31","downlit","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.4.2",NA,"4.2.1"
"32","dplyr","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.0.9",NA,"4.2.1"
"33","dtplyr","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.2.1",NA,"4.2.1"
"34","ellipsis","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.3.2",NA,"4.2.1"
"35","esquisse","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1.1",NA,"4.2.1"
"36","evaluate","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.15",NA,"4.2.1"
"37","fansi","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.0.3",NA,"4.2.1"
"38","farver","C:/Users/nephi/AppData/Local/R/win-library/4.2","2.1.1",NA,"4.2.1"
"39","fastmap","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.1.0",NA,"4.2.1"
"40","fontawesome","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.3.0",NA,"4.2.1"
"41","forcats","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.5.1",NA,"4.2.1"
"42","formatR","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.12",NA,"4.2.1"
"43","fs","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.5.2",NA,"4.2.1"
"44","gargle","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.2.0",NA,"4.2.1"
"45","generics","C:/Users/nephi/AppData/Local/R/win-library/4.2","0.1.3",NA,"4.2.1"
"46","gert","C:/Users/nephi/AppData/Local/R/win-library/4.2","1.6.0",NA,"4.2.1"
"47","ggplot2","C:/Users/nephi/AppData/Local/R/win-library/4.2","3.3.6",NA,"4.2.1"
